run_id,modulation,power_dbm,target_freq_hz,center_hz,center_error_hz,detected_mode,valid,raw_log_path,notes
"CW_120M_-20dBm_run1","CW",-20,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-20dBm_run1_reject.txt",""
"CW_120M_-20dBm_run2","CW",-20,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-20dBm_run2_reject.txt",""
"CW_120M_-20dBm_run3","CW",-20,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-20dBm_run3_reject.txt",""
"CW_120M_-15dBm_run1","CW",-15,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-15dBm_run1_reject.txt",""
"CW_120M_-15dBm_run2","CW",-15,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-15dBm_run2_reject.txt",""
"CW_120M_-15dBm_run3","CW",-15,120000000,"125000000","5000000","PSK","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-15dBm_run3_reject.txt",""
"CW_120M_-10dBm_run1","CW",-10,120000000,"125000000","5000000","PSK","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-10dBm_run1_reject.txt",""
"CW_120M_-10dBm_run2","CW",-10,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-10dBm_run2_reject.txt",""
"CW_120M_-10dBm_run3","CW",-10,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\CW_120M_-10dBm_run3_reject.txt",""
"AM_120M_-20dBm_run1","AM",-20,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-20dBm_run1_reject.txt",""
"AM_120M_-20dBm_run2","AM",-20,120000000,"125000000","5000000","5","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-20dBm_run2_reject.txt",""
"AM_120M_-20dBm_run3","AM",-20,120000000,"125000000","5000000","PSK","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-20dBm_run3_reject.txt",""
"AM_120M_-15dBm_run1","AM",-15,120000000,"125000000","5000000","PSK","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-15dBm_run1_reject.txt",""
"AM_120M_-15dBm_run2","AM",-15,120000000,"125000000","5000000","1","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-15dBm_run2_reject.txt",""
"AM_120M_-15dBm_run3","AM",-15,120000000,"125000000","5000000","PSK","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-15dBm_run3_reject.txt",""
"AM_120M_-10dBm_run1","AM",-10,120000000,"125000000","5000000","7","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-10dBm_run1_reject.txt",""
"AM_120M_-10dBm_run2","AM",-10,120000000,"125000000","5000000","PSK","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-10dBm_run2_reject.txt",""
"AM_120M_-10dBm_run3","AM",-10,120000000,"125000000","5000000","PSK","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_full_120M_after_monitor_stub_20260525_0220\AM_120M_-10dBm_run3_reject.txt",""
