run_id,modulation,power_dbm,target_freq_hz,center_hz,center_error_hz,detected_mode,detected_param,valid,raw_log_path,notes
CW_120M_run1,CW,-20,120000000,,,,,,,
CW_120M_run2,CW,-20,120000000,,,,,,,
CW_120M_run3,CW,-20,120000000,,,,,,,
AM_120M_run1,AM,-20,120000000,,,,,,,
AM_120M_run2,AM,-20,120000000,,,,,,,
AM_120M_run3,AM,-20,120000000,,,,,,,
FM_120M_run1,FM,-20,120000000,,,,,,,
FM_120M_run2,FM,-20,120000000,,,,,,,
FM_120M_run3,FM,-20,120000000,,,,,,,
ASK_120M_run1,ASK,-20,120000000,,,,,,,
ASK_120M_run2,ASK,-20,120000000,,,,,,,
ASK_120M_run3,ASK,-20,120000000,,,,,,,
FSK_120M_run1,FSK2,-20,120000000,,,,,,,
FSK_120M_run2,FSK2,-20,120000000,,,,,,,
FSK_120M_run3,FSK2,-20,120000000,,,,,,,
BPSK_120M_run1,BPSK,-20,120000000,,,,,,,
BPSK_120M_run2,BPSK,-20,120000000,,,,,,,
BPSK_120M_run3,BPSK,-20,120000000,,,,,,,
