case_id,split,seed,modulation,profile,snr_db,low_if_hz,msg_freq_hz,am_depth,fm_deviation_hz,symbol_rate_hz,fsk_sep_hz,pattern,holdout_note
1,train,2026052618,AM,ideal,Inf,-5000,5000,0.2,NaN,NaN,NaN,,training grid
2,train,2026052635,AM,ideal,Inf,-5000,10000,0.5,NaN,NaN,NaN,,training grid
3,train,2026052652,AM,ideal,Inf,-5000,15000,0.8,NaN,NaN,NaN,,training grid
4,train,2026052669,FM,ideal,Inf,-5000,5000,NaN,25000,NaN,NaN,,training grid
5,train,2026052686,FM,ideal,Inf,-5000,10000,NaN,75000,NaN,NaN,,training grid
6,train,2026052703,FM,ideal,Inf,-5000,15000,NaN,100000,NaN,NaN,,training grid
7,train,2026052720,ASK,ideal,Inf,-5000,NaN,NaN,NaN,5000,NaN,pn9,training grid
8,train,2026052737,PSK,ideal,Inf,-5000,NaN,NaN,NaN,5000,NaN,pn9,training grid
9,train,2026052754,ASK,ideal,Inf,-5000,NaN,NaN,NaN,5000,NaN,loop01,training grid
10,train,2026052771,PSK,ideal,Inf,-5000,NaN,NaN,NaN,5000,NaN,loop01,training grid
11,train,2026052788,ASK,ideal,Inf,-5000,NaN,NaN,NaN,10000,NaN,pn9,training grid
12,train,2026052805,PSK,ideal,Inf,-5000,NaN,NaN,NaN,10000,NaN,pn9,training grid
13,train,2026052822,ASK,ideal,Inf,-5000,NaN,NaN,NaN,10000,NaN,loop01,training grid
14,train,2026052839,PSK,ideal,Inf,-5000,NaN,NaN,NaN,10000,NaN,loop01,training grid
15,train,2026052856,ASK,ideal,Inf,-5000,NaN,NaN,NaN,20000,NaN,pn9,training grid
16,train,2026052873,PSK,ideal,Inf,-5000,NaN,NaN,NaN,20000,NaN,pn9,training grid
17,train,2026052890,ASK,ideal,Inf,-5000,NaN,NaN,NaN,20000,NaN,loop01,training grid
18,train,2026052907,PSK,ideal,Inf,-5000,NaN,NaN,NaN,20000,NaN,loop01,training grid
19,train,2026052924,ASK,ideal,Inf,-5000,NaN,NaN,NaN,40000,NaN,pn9,training grid
20,train,2026052941,PSK,ideal,Inf,-5000,NaN,NaN,NaN,40000,NaN,pn9,training grid
21,train,2026052958,ASK,ideal,Inf,-5000,NaN,NaN,NaN,40000,NaN,loop01,training grid
22,train,2026052975,PSK,ideal,Inf,-5000,NaN,NaN,NaN,40000,NaN,loop01,training grid
23,train,2026052992,FSK,ideal,Inf,-5000,NaN,NaN,NaN,5000,10000,pn9,training grid
24,train,2026053009,FSK,ideal,Inf,-5000,NaN,NaN,NaN,5000,10000,loop01,training grid
25,train,2026053026,FSK,ideal,Inf,-5000,NaN,NaN,NaN,10000,20000,pn9,training grid
26,train,2026053043,FSK,ideal,Inf,-5000,NaN,NaN,NaN,10000,20000,loop01,training grid
27,train,2026053060,FSK,ideal,Inf,-5000,NaN,NaN,NaN,20000,40000,pn9,training grid
28,train,2026053077,FSK,ideal,Inf,-5000,NaN,NaN,NaN,20000,40000,loop01,training grid
29,train,2026053094,FSK,ideal,Inf,-5000,NaN,NaN,NaN,40000,80000,pn9,training grid
30,train,2026053111,FSK,ideal,Inf,-5000,NaN,NaN,NaN,40000,80000,loop01,training grid
31,train,2026053128,AM,ideal,20,-5000,5000,0.2,NaN,NaN,NaN,,training grid
32,train,2026053145,AM,ideal,20,-5000,10000,0.5,NaN,NaN,NaN,,training grid
33,train,2026053162,AM,ideal,20,-5000,15000,0.8,NaN,NaN,NaN,,training grid
34,train,2026053179,FM,ideal,20,-5000,5000,NaN,25000,NaN,NaN,,training grid
35,train,2026053196,FM,ideal,20,-5000,10000,NaN,75000,NaN,NaN,,training grid
36,train,2026053213,FM,ideal,20,-5000,15000,NaN,100000,NaN,NaN,,training grid
37,train,2026053230,ASK,ideal,20,-5000,NaN,NaN,NaN,5000,NaN,pn9,training grid
38,train,2026053247,PSK,ideal,20,-5000,NaN,NaN,NaN,5000,NaN,pn9,training grid
39,train,2026053264,ASK,ideal,20,-5000,NaN,NaN,NaN,5000,NaN,loop01,training grid
40,train,2026053281,PSK,ideal,20,-5000,NaN,NaN,NaN,5000,NaN,loop01,training grid
41,train,2026053298,ASK,ideal,20,-5000,NaN,NaN,NaN,10000,NaN,pn9,training grid
42,train,2026053315,PSK,ideal,20,-5000,NaN,NaN,NaN,10000,NaN,pn9,training grid
43,train,2026053332,ASK,ideal,20,-5000,NaN,NaN,NaN,10000,NaN,loop01,training grid
44,train,2026053349,PSK,ideal,20,-5000,NaN,NaN,NaN,10000,NaN,loop01,training grid
45,train,2026053366,ASK,ideal,20,-5000,NaN,NaN,NaN,20000,NaN,pn9,training grid
46,train,2026053383,PSK,ideal,20,-5000,NaN,NaN,NaN,20000,NaN,pn9,training grid
47,train,2026053400,ASK,ideal,20,-5000,NaN,NaN,NaN,20000,NaN,loop01,training grid
48,train,2026053417,PSK,ideal,20,-5000,NaN,NaN,NaN,20000,NaN,loop01,training grid
49,train,2026053434,ASK,ideal,20,-5000,NaN,NaN,NaN,40000,NaN,pn9,training grid
50,train,2026053451,PSK,ideal,20,-5000,NaN,NaN,NaN,40000,NaN,pn9,training grid
51,train,2026053468,ASK,ideal,20,-5000,NaN,NaN,NaN,40000,NaN,loop01,training grid
52,train,2026053485,PSK,ideal,20,-5000,NaN,NaN,NaN,40000,NaN,loop01,training grid
53,train,2026053502,FSK,ideal,20,-5000,NaN,NaN,NaN,5000,10000,pn9,training grid
54,train,2026053519,FSK,ideal,20,-5000,NaN,NaN,NaN,5000,10000,loop01,training grid
55,train,2026053536,FSK,ideal,20,-5000,NaN,NaN,NaN,10000,20000,pn9,training grid
56,train,2026053553,FSK,ideal,20,-5000,NaN,NaN,NaN,10000,20000,loop01,training grid
57,train,2026053570,FSK,ideal,20,-5000,NaN,NaN,NaN,20000,40000,pn9,training grid
58,train,2026053587,FSK,ideal,20,-5000,NaN,NaN,NaN,20000,40000,loop01,training grid
59,train,2026053604,FSK,ideal,20,-5000,NaN,NaN,NaN,40000,80000,pn9,training grid
60,train,2026053621,FSK,ideal,20,-5000,NaN,NaN,NaN,40000,80000,loop01,training grid
61,train,2026053638,AM,board_like_normal,Inf,-5000,5000,0.2,NaN,NaN,NaN,,training grid
62,train,2026053655,AM,board_like_normal,Inf,-5000,10000,0.5,NaN,NaN,NaN,,training grid
63,train,2026053672,AM,board_like_normal,Inf,-5000,15000,0.8,NaN,NaN,NaN,,training grid
64,train,2026053689,FM,board_like_normal,Inf,-5000,5000,NaN,25000,NaN,NaN,,training grid
65,train,2026053706,FM,board_like_normal,Inf,-5000,10000,NaN,75000,NaN,NaN,,training grid
66,train,2026053723,FM,board_like_normal,Inf,-5000,15000,NaN,100000,NaN,NaN,,training grid
67,train,2026053740,ASK,board_like_normal,Inf,-5000,NaN,NaN,NaN,5000,NaN,pn9,training grid
68,train,2026053757,PSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,5000,NaN,pn9,training grid
69,train,2026053774,ASK,board_like_normal,Inf,-5000,NaN,NaN,NaN,5000,NaN,loop01,training grid
70,train,2026053791,PSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,5000,NaN,loop01,training grid
71,train,2026053808,ASK,board_like_normal,Inf,-5000,NaN,NaN,NaN,10000,NaN,pn9,training grid
72,train,2026053825,PSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,10000,NaN,pn9,training grid
73,train,2026053842,ASK,board_like_normal,Inf,-5000,NaN,NaN,NaN,10000,NaN,loop01,training grid
74,train,2026053859,PSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,10000,NaN,loop01,training grid
75,train,2026053876,ASK,board_like_normal,Inf,-5000,NaN,NaN,NaN,20000,NaN,pn9,training grid
76,train,2026053893,PSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,20000,NaN,pn9,training grid
77,train,2026053910,ASK,board_like_normal,Inf,-5000,NaN,NaN,NaN,20000,NaN,loop01,training grid
78,train,2026053927,PSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,20000,NaN,loop01,training grid
79,train,2026053944,ASK,board_like_normal,Inf,-5000,NaN,NaN,NaN,40000,NaN,pn9,training grid
80,train,2026053961,PSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,40000,NaN,pn9,training grid
81,train,2026053978,ASK,board_like_normal,Inf,-5000,NaN,NaN,NaN,40000,NaN,loop01,training grid
82,train,2026053995,PSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,40000,NaN,loop01,training grid
83,train,2026054012,FSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,5000,10000,pn9,training grid
84,train,2026054029,FSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,5000,10000,loop01,training grid
85,train,2026054046,FSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,10000,20000,pn9,training grid
86,train,2026054063,FSK,board_like_normal,Inf,-5000,NaN,NaN,NaN,10000,20000,loop01,training grid
