modulation,variant,profile,snr_db,low_if_hz,symbol_rate_hz,ber,clip_rate,pass_flag,note
ASK,firmware_like,ideal,inf,0.000000,10000.000000,0.420775,0.000000,0,
FSK,firmware_like,ideal,inf,0.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,500.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,500.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,1000.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,1000.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,1500.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,1500.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,2000.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,2000.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,2250.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,2250.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,2500.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,2500.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,2750.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,2750.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,3000.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,3000.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,4000.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,4000.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,5000.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,5000.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,6000.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,6000.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,inf,8000.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,inf,8000.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,30.000000,0.000000,10000.000000,0.470070,0.000000,0,
FSK,firmware_like,ideal,30.000000,0.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,30.000000,500.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,30.000000,500.000000,10000.000000,0.000000,0.000000,1,
ASK,firmware_like,ideal,30.000000,1000.000000,10000.000000,0.000000,0.000000,1,
FSK,firmware_like,ideal,30.000000,1000.000000,10000.000000,0.000000,0.000000,1,
