modulation,low_if_hz,mean_ber,worst_ber,best_ber,count
ASK,0.000000,0.417400,0.492958,0.286972,12
ASK,500.000000,0.004695,0.021127,0.000000,12
ASK,1000.000000,0.000440,0.003521,0.000000,12
ASK,1500.000000,0.000147,0.001761,0.000000,12
ASK,2000.000000,0.000000,0.000000,0.000000,12
ASK,2250.000000,0.000147,0.001761,0.000000,12
ASK,2500.000000,0.000000,0.000000,0.000000,12
ASK,2750.000000,0.000000,0.000000,0.000000,12
ASK,3000.000000,0.000000,0.000000,0.000000,12
ASK,4000.000000,0.000000,0.000000,0.000000,12
ASK,5000.000000,0.000000,0.000000,0.000000,12
ASK,6000.000000,0.000000,0.000000,0.000000,12
ASK,8000.000000,0.000000,0.000000,0.000000,12
FSK,0.000000,0.000000,0.000000,0.000000,12
FSK,500.000000,0.000000,0.000000,0.000000,12
FSK,1000.000000,0.000000,0.000000,0.000000,12
FSK,1500.000000,0.000000,0.000000,0.000000,12
FSK,2000.000000,0.000000,0.000000,0.000000,12
FSK,2250.000000,0.000000,0.000000,0.000000,12
FSK,2500.000000,0.000000,0.000000,0.000000,12
FSK,2750.000000,0.000000,0.000000,0.000000,12
FSK,3000.000000,0.000147,0.001761,0.000000,12
FSK,4000.000000,0.000000,0.000000,0.000000,12
FSK,5000.000000,0.000000,0.000000,0.000000,12
FSK,6000.000000,0.000000,0.000000,0.000000,12
FSK,8000.000000,0.000000,0.000000,0.000000,12
