modulation,variant,profile,snr_db,low_if_hz,symbol_rate_hz,precision,recall,f1,false_alarm,miss,clip_rate,phase_delta_same_deg,phase_delta_flip_deg,pass_flag,note
PSK,phase_jump_fallback,ideal,inf,0.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,93.155259,86.844741,1,flip detection only
PSK,phase_jump_fallback,ideal,inf,500.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,92.191709,87.808291,1,flip detection only
PSK,phase_jump_fallback,ideal,inf,1000.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,95.297813,84.702187,1,flip detection only
PSK,phase_jump_fallback,ideal,inf,1500.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,94.779344,85.220656,1,flip detection only
PSK,phase_jump_fallback,ideal,inf,2000.000000,10000.000000,0.870588,0.954839,0.910769,0.152249,0.045161,0.000000,95.981009,84.018991,0,flip detection only
PSK,phase_jump_fallback,ideal,inf,2250.000000,10000.000000,0.705405,0.841935,0.767647,0.377163,0.158065,0.000000,96.000202,83.999798,0,flip detection only
PSK,phase_jump_fallback,ideal,inf,2500.000000,10000.000000,0.519337,0.606452,0.559524,0.602076,0.393548,0.000000,95.851203,84.148797,0,flip detection only
PSK,phase_jump_fallback,ideal,inf,2750.000000,10000.000000,0.329730,0.393548,0.358824,0.858131,0.606452,0.000000,96.201748,83.798252,0,flip detection only
PSK,phase_jump_fallback,ideal,inf,3000.000000,10000.000000,0.183735,0.196774,0.190031,0.937716,0.803226,0.000000,95.733092,84.266908,0,flip detection only
PSK,phase_jump_fallback,ideal,inf,4000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,91.474543,88.525457,0,flip detection only
PSK,phase_jump_fallback,ideal,inf,5000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,86.876876,93.123124,0,flip detection only
PSK,phase_jump_fallback,ideal,inf,6000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,91.471100,88.528900,0,flip detection only
PSK,phase_jump_fallback,ideal,inf,8000.000000,10000.000000,0.875740,0.954839,0.913580,0.145329,0.045161,0.000000,95.975227,84.024773,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,0.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,92.854428,87.145572,1,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,500.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,92.200765,87.799235,1,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,1000.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,95.393064,84.606936,1,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,1500.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,96.074487,83.925513,1,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,2000.000000,10000.000000,0.940810,0.977346,0.958730,0.065517,0.022654,0.000000,94.137094,85.862906,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,2250.000000,10000.000000,0.754986,0.857605,0.803030,0.296552,0.142395,0.000000,94.929037,85.070963,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,2500.000000,10000.000000,0.514667,0.624595,0.564327,0.627586,0.375405,0.000000,96.644356,83.355644,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,2750.000000,10000.000000,0.288571,0.326861,0.306525,0.858621,0.673139,0.000000,96.382127,83.617873,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,3000.000000,10000.000000,0.153846,0.161812,0.157729,0.948276,0.838188,0.000000,94.683394,85.316606,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,4000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,90.909217,89.090783,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,5000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,87.174513,92.825487,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,6000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,90.922130,89.077870,0,flip detection only
PSK,phase_jump_fallback,ideal,30.000000,8000.000000,10000.000000,0.946708,0.977346,0.961783,0.058621,0.022654,0.000000,94.156944,85.843056,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,0.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,90.161884,89.838116,1,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,500.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,90.285641,89.714359,1,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,1000.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,93.818615,86.181385,1,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,1500.000000,10000.000000,0.996678,1.000000,0.998336,0.003344,0.000000,0.000000,94.407355,85.592645,1,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,2000.000000,10000.000000,0.826979,0.940000,0.879875,0.197324,0.060000,0.000000,97.215287,82.784713,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,2250.000000,10000.000000,0.659517,0.820000,0.731055,0.424749,0.180000,0.000000,97.145813,82.854187,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,2500.000000,10000.000000,0.494220,0.570000,0.529412,0.585284,0.430000,0.000000,95.382677,84.617323,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,2750.000000,10000.000000,0.249284,0.290000,0.268105,0.876254,0.710000,0.000000,94.279736,85.720264,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,3000.000000,10000.000000,0.055556,0.056667,0.056106,0.966555,0.943333,0.000000,93.431471,86.568529,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,4000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,93.407073,86.592927,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,5000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,89.903904,90.096096,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,6000.000000,10000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,93.458911,86.541089,0,flip detection only
PSK,phase_jump_fallback,ideal,20.000000,8000.000000,10000.000000,0.831858,0.940000,0.882629,0.190635,0.060000,0.000000,97.310461,82.689539,0,flip detection only
PSK,phase_jump_fallback,ideal,10.000000,0.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,91.075950,88.924050,1,flip detection only
PSK,phase_jump_fallback,ideal,10.000000,500.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,90.720562,89.279438,1,flip detection only
PSK,phase_jump_fallback,ideal,10.000000,1000.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,93.499097,86.500903,1,flip detection only
PSK,phase_jump_fallback,ideal,10.000000,1500.000000,10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,95.445971,84.554029,1,flip detection only
