low_if_hz,mean_precision,mean_recall,mean_f1,mean_false_alarm,mean_miss,worst_precision,worst_recall,worst_f1,worst_false_alarm,worst_miss,pass_rate,count
0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,12
500.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,12
1000.000000,0.999446,0.998092,0.998767,0.000562,0.001908,0.996678,0.990099,0.993377,0.003378,0.009901,1.000000,12
1500.000000,0.980687,0.984283,0.982465,0.020588,0.015717,0.943218,0.951613,0.947702,0.063158,0.048387,0.750000,12
2000.000000,0.810913,0.901063,0.853369,0.221205,0.098937,0.698864,0.802548,0.751145,0.363322,0.197452,0.000000,12
2250.000000,0.669102,0.781735,0.720620,0.401529,0.218265,0.587744,0.656051,0.626140,0.498316,0.343949,0.000000,12
2500.000000,0.487316,0.576481,0.527619,0.631030,0.423519,0.445844,0.500000,0.491071,0.740741,0.500000,0.000000,12
2750.000000,0.307598,0.354108,0.329035,0.826938,0.645892,0.249284,0.290000,0.268105,0.876254,0.710000,0.000000,12
3000.000000,0.156245,0.164206,0.160073,0.921440,0.835794,0.055556,0.056667,0.056106,0.969900,0.943333,0.000000,12
4000.000000,0.000000,0.000000,0.000000,0.999135,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,12
5000.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,12
6000.000000,0.001117,0.001101,0.001109,0.998850,0.998899,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,12
8000.000000,0.840808,0.922155,0.879324,0.182585,0.077845,0.755682,0.831210,0.812214,0.290541,0.168790,0.000000,12
