case_id,scenario,profile,snr_db,mod_a,mod_b,freq_step_hz,has_change,triggered,valid_detection,false_alarm,miss,late_detection,latency_ms,trigger_score,trigger_reason
1,no_change,ideal,20.0,AM,AM,0.0,False,False,False,False,False,False,nan,0,0
2,no_change,ideal,20.0,FM,FM,0.0,False,False,False,False,False,False,nan,0,0
3,no_change,ideal,20.0,ASK,ASK,0.0,False,True,False,True,False,False,-8.0,2,6
4,no_change,ideal,20.0,FSK,FSK,0.0,False,False,False,False,False,False,nan,0,0
5,no_change,ideal,20.0,PSK,PSK,0.0,False,False,False,False,False,False,nan,0,0
6,mod_switch_same_freq,ideal,20.0,AM,FM,0.0,True,True,True,False,False,False,4.0,3,28
7,freq_mod_switch,ideal,20.0,AM,FM,10000.0,True,True,True,False,False,False,4.0,5,29
8,freq_mod_switch,ideal,20.0,AM,FM,-10000.0,True,True,True,False,False,False,4.0,5,29
9,freq_mod_switch,ideal,20.0,AM,FM,20000.0,True,True,True,False,False,False,4.0,5,29
10,freq_mod_switch,ideal,20.0,AM,FM,50000.0,True,True,True,False,False,False,4.0,5,29
11,mod_switch_same_freq,ideal,20.0,AM,ASK,0.0,True,True,True,False,False,False,4.0,2,6
12,freq_mod_switch,ideal,20.0,AM,ASK,10000.0,True,True,True,False,False,False,4.0,4,7
13,freq_mod_switch,ideal,20.0,AM,ASK,-10000.0,True,True,True,False,False,False,4.0,4,7
14,freq_mod_switch,ideal,20.0,AM,ASK,20000.0,True,True,True,False,False,False,4.0,4,7
15,freq_mod_switch,ideal,20.0,AM,ASK,50000.0,True,True,True,False,False,False,4.0,4,7
16,mod_switch_same_freq,ideal,20.0,AM,FSK,0.0,True,True,True,False,False,False,4.0,3,5
17,freq_mod_switch,ideal,20.0,AM,FSK,10000.0,True,True,True,False,False,False,4.0,5,29
18,freq_mod_switch,ideal,20.0,AM,FSK,-10000.0,True,True,True,False,False,False,4.0,4,21
19,freq_mod_switch,ideal,20.0,AM,FSK,20000.0,True,True,True,False,False,False,4.0,3,5
20,freq_mod_switch,ideal,20.0,AM,FSK,50000.0,True,True,True,False,False,False,4.0,4,21
21,mod_switch_same_freq,ideal,20.0,AM,PSK,0.0,True,True,True,False,False,False,4.0,2,20
22,freq_mod_switch,ideal,20.0,AM,PSK,10000.0,True,True,True,False,False,False,4.0,4,21
23,freq_mod_switch,ideal,20.0,AM,PSK,-10000.0,True,True,True,False,False,False,4.0,4,21
24,freq_mod_switch,ideal,20.0,AM,PSK,20000.0,True,True,True,False,False,False,4.0,4,21
25,freq_mod_switch,ideal,20.0,AM,PSK,50000.0,True,True,True,False,False,False,4.0,4,21
26,mod_switch_same_freq,ideal,20.0,FM,AM,0.0,True,True,True,False,False,False,4.0,3,28
27,freq_mod_switch,ideal,20.0,FM,AM,10000.0,True,True,True,False,False,False,4.0,3,28
28,freq_mod_switch,ideal,20.0,FM,AM,-10000.0,True,True,True,False,False,False,4.0,3,28
29,freq_mod_switch,ideal,20.0,FM,AM,20000.0,True,True,True,False,False,False,4.0,3,28
30,freq_mod_switch,ideal,20.0,FM,AM,50000.0,True,True,True,False,False,False,4.0,3,28
31,mod_switch_same_freq,ideal,20.0,FM,ASK,0.0,True,True,True,False,False,False,4.0,4,30
32,freq_mod_switch,ideal,20.0,FM,ASK,10000.0,True,True,True,False,False,False,4.0,4,30
33,freq_mod_switch,ideal,20.0,FM,ASK,-10000.0,True,True,True,False,False,False,4.0,4,30
