group,value,cases,changed_cases,valid_detection_rate,false_alarm_rate,miss_rate,late_rate,median_latency_ms,p95_latency_ms
ALL,ALL,630,600,0.7833333333333333,0.2,0.08,0.021666666666666667,4.0,5.999999999999998
scenario,freq_mod_switch,480,480,0.7708333333333334,0.14166666666666666,0.0875,0.022916666666666665,4.0,5.999999999999998
scenario,mod_switch_same_freq,120,120,0.8333333333333334,0.11666666666666667,0.05,0.016666666666666666,4.0,8.0
scenario,no_change,30,0,nan,0.2,nan,nan,nan,nan
profile,board_like_hard,210,200,0.78,0.2,0.085,0.02,4.0,5.999999999999998
profile,board_like_normal,210,200,0.785,0.2,0.085,0.02,4.0,5.999999999999998
profile,ideal,210,200,0.785,0.2,0.07,0.025,4.0,5.999999999999998
snr,10.0,315,300,0.83,0.2,0.09333333333333334,0.03,4.0,5.999999999999998
snr,20.0,315,300,0.7366666666666667,0.2,0.06666666666666667,0.013333333333333334,4.0,5.999999999999998
freq_step,-10000.0,120,120,0.775,0.15,0.075,0.03333333333333333,4.0,5.999999999999998
freq_step,0.0,150,120,0.8333333333333334,0.2,0.05,0.016666666666666666,4.0,8.0
freq_step,10000.0,120,120,0.7916666666666666,0.13333333333333333,0.075,0.03333333333333333,4.0,8.0
freq_step,20000.0,120,120,0.7333333333333333,0.15,0.11666666666666667,0.016666666666666666,4.0,5.299999999999982
freq_step,50000.0,120,120,0.7833333333333333,0.13333333333333333,0.08333333333333333,0.008333333333333333,4.0,4.699999999999988
