"日期","数据源文件","载波频率_Hz","调制类型","调制速率_Hz","调制参数","连接方式","信号源峰峰值_V","信号源直流偏置_V","本振偏置_Hz","包络深度_pm","频谱类型","谐波序号","目标频率_Hz","实测频率_Hz","实测Bin","幅度","实测相位_rad","相对主峰_dBc","搜索窗口_Hz","搜索模式","备注"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","1","5000","5000","10","27990228","-2.038","0","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","2","10000","10000","20","469790","1.812","-35.5","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","3","15000","15000","30","215800","0.587","-42.26","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","4","20000","19500","39","65762","1.08","-52.58","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","5","25000","25500","51","53064","1.145","-54.44","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","6","30000","30000","60","46525","1.166","-55.59","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","7","35000","34500","69","40959","0.915","-56.69","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","8","40000","40000","80","32429","1.09","-58.72","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","9","45000","45500","91","28417","1.043","-59.87","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","10","50000","49500","99","28350","0.971","-59.89","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","11","55000","55000","110","23108","0.94","-61.66","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160813.txt","120000000","CW","","","wired","1.5","0","5000","38","IQ","12","60000","60500","121","20296","1.243","-62.79","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","1","7000","7000","14","28003114","1.813","0","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","2","14000","14000","28","410021","-2.272","-36.69","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","3","21000","21000","42","198654","-0.959","-42.98","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","4","28000","28500","57","50718","-1.383","-54.84","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","5","35000","35000","70","52774","-1.246","-54.5","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","6","42000","42000","84","37779","-1","-57.4","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","7","49000","48500","97","26534","-1.389","-60.47","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","8","56000","55500","111","20332","-0.904","-62.78","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","9","63000","62500","125","22298","-1.359","-61.98","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","10","70000","70500","141","19967","-1.323","-62.94","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","11","77000","77000","154","17829","-1.535","-63.92","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160643.txt","120000000","CW","","","wired","1.5","0","7000","36","IQ","12","84000","84500","169","17905","-1.249","-63.88","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","1","10000","10000","20","27992208","-3.008","0","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","2","20000","20000","40","451701","0.254","-35.84","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
